user_id,course_id,rate,date
83,10,4.0,2022-01-04
105,3,4.0,2022-01-04
76,11,5.0,2022-01-05
77,11,5.0,2022-01-08
78,11,5.0,2022-01-16
79,11,2.0,2022-01-16
80,11,5.0,2022-01-23
81,11,4.0,2022-01-28
23,9,5.0,2022-01-29
24,9,5.0,2022-01-29
82,11,5.0,2022-02-01
84,10,5.0,2022-02-02
85,10,5.0,2022-02-07
106,3,5.0,2022-02-10
15,6,5.0,2022-02-10
107,3,4.0,2022-02-10
29,2,5.0,2022-02-23
30,2,5.0,2022-02-27
12,15,5.0,2022-03-12
7,14,5.0,2022-03-14
86,10,5.0,2022-03-17
22,4,5.0,2022-03-17
108,3,2.0,2022-03-21
8,14,5.0,2022-03-22
87,10,5.0,2022-03-25
109,3,5.0,2022-03-28
88,10,5.0,2022-04-02
89,10,5.0,2022-04-11
16,6,5.0,2022-04-13
9,12,5.0,2022-04-18
10,12,5.0,2022-04-18
90,10,4.0,2022-04-19
11,12,5.0,2022-04-20
110,3,4.0,2022-04-20
111,3,5.0,2022-04-22
4,17,5.0,2022-04-24
112,3,2.0,2022-04-27
91,10,5.0,2022-04-30
31,16,5.0,2022-05-11
113,3,4.0,2022-05-15
92,10,5.0,2022-05-25
32,19,5.0,2022-05-26
23,19,5.0,2022-05-26
33,19,5.0,2022-05-26
114,3,5.0,2022-05-27
26,1,4.0,2022-05-29
93,10,5.0,2022-05-29
115,3,5.0,2022-06-01
94,10,5.0,2022-06-04
66,20,5.0,2022-06-06
17,7,4.0,2022-06-07
95,10,5.0,2022-06-09
96,10,5.0,2022-06-09
116,3,4.0,2022-06-09
97,10,5.0,2022-06-11
117,3,5.0,2022-06-13
5,8,5.0,2022-06-15
118,3,5.0,2022-06-16
119,3,5.0,2022-06-20
68,22,4.0,2022-06-26
120,3,5.0,2022-07-01
121,3,5.0,2022-07-02
122,3,5.0,2022-07-06
13,23,5.0,2022-07-12
14,23,5.0,2022-07-13
98,10,5.0,2022-07-13
1,21,5.0,2022-07-13
70,22,5.0,2022-07-17
71,22,5.0,2022-07-17
123,3,4.0,2022-07-17
69,22,5.0,2022-07-17
99,10,1.0,2022-07-18
124,3,5.0,2022-07-19
100,10,5.0,2022-07-28
28,25,5.0,2022-08-04
125,3,4.0,2022-08-11
37,24,5.0,2022-08-13
126,3,5.0,2022-08-13
36,24,5.0,2022-08-13
101,10,4.0,2022-08-16
38,24,4.0,2022-08-17
67,5,5.0,2022-08-18
25,13,5.0,2022-08-19
6,27,5.0,2022-08-20
39,24,5.0,2022-08-20
19,26,5.0,2022-08-25
18,26,5.0,2022-08-25
102,10,5.0,2022-08-25
20,26,5.0,2022-08-25
40,24,4.0,2022-08-25
2,28,5.0,2022-08-29
72,22,4.0,2022-09-03
3,30,5.0,2022-09-08
103,10,5.0,2022-09-10
21,26,1.0,2022-09-10
27,1,2.0,2022-09-10
35,19,5.0,2022-09-14
34,19,5.0,2022-09-14
104,10,5.0,2022-09-23
127,3,5.0,2022-09-24
43,29,5.0,2022-09-27
42,29,5.0,2022-09-27
44,29,5.0,2022-09-27
45,29,5.0,2022-09-27
46,29,5.0,2022-09-27
47,29,5.0,2022-09-27
73,22,5.0,2022-09-28
53,29,5.0,2022-09-28
52,29,5.0,2022-09-28
54,29,5.0,2022-09-28
50,29,5.0,2022-09-28
49,29,5.0,2022-09-28
48,29,5.0,2022-09-28
51,29,4.0,2022-09-28
55,29,4.0,2022-09-29
56,29,4.0,2022-09-29
74,22,4.0,2022-09-29
57,29,5.0,2022-09-30
58,29,4.0,2022-09-30
41,18,4.0,2022-10-04
59,29,5.0,2022-10-09
60,29,5.0,2022-10-09
61,29,5.0,2022-10-11
62,29,4.0,2022-10-12
64,29,5.0,2022-10-13
63,29,4.0,2022-10-13
128,3,4.0,2022-10-15
75,22,5.0,2022-10-18
65,29,5.0,2022-10-21
